N,objective_view,best_strategy,best_value,candidate_family,candidate_source,source_run,teacher_validation_status,order_compact,order_hash,claim_role
N16,constrained_reward,S3R74FSD_N16_B01_n16_penalty,0.8805194805194806,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,native_multi_N_claim_scope_within_N_only
N16,strict_penalty_guard,S3R74FSD_N16_B01_n16_penalty,0.8818181818181817,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,native_multi_N_claim_scope_within_N_only
N16,penalty_repair,S3R74FSD_N16_B01_n16_penalty,0.837012987012987,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,native_multi_N_claim_scope_within_N_only
N16,PEEQ,S3R74FSD_N16_B01_n16_penalty,0.1457871496677398,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,native_multi_N_claim_scope_within_N_only
N16,SurfaceT,S3R74FSD_N16_B03_n16_reward_bal,580887040.0,penalty_repair,N16_final_diag_reward_balanced,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-12-10-8-6-4-2-0-1-3-5-7-9-11-13-15,543b47f89dc534e4,native_multi_N_claim_scope_within_N_only
N16,Mises,N16_A07_regular_jump_coprime,579946752.0,regular_jump,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N24,U2,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,penalty_repair,no_penalty_worse_than_median,Run51,PASS_TEACHER_FIELDS_EXTRACTED,22-21-19-11-1-3-5-7-9-13-15-17-23-0-2-4-6-8-10-12-14-16-18-20,22fe0ffd756973ac,native_multi_N_claim_scope_within_N_only
N24,u2_primary,S3R44CNS_N24_B16_uncertainty,0.8718253968253968,penalty_repair,uncertainty_calibration,Run46,PASS_TEACHER_FIELDS_EXTRACTED,22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,e72abd003436348f,native_multi_N_claim_scope_within_N_only
N24,constrained_reward,S3R44CNS_N24_B16_uncertainty,0.8558201058201058,penalty_repair,uncertainty_calibration,Run46,PASS_TEACHER_FIELDS_EXTRACTED,22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,e72abd003436348f,native_multi_N_claim_scope_within_N_only
N24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8505291005291007,penalty_repair,uncertainty_calibration,Run46,PASS_TEACHER_FIELDS_EXTRACTED,22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,e72abd003436348f,native_multi_N_claim_scope_within_N_only
N24,penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,0.8466931216931217,uncertainty,N24_uncertainty_anchor,Run71,PASS_TEACHER_FIELDS_EXTRACTED,22-17-15-13-9-5-7-3-1-11-19-21-23-0-6-4-2-8-10-12-14-16-18-20,03078ca2a17672da,native_multi_N_claim_scope_within_N_only
N24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,diversity,N24_diversity_coverage,Run61,PASS_TEACHER_FIELDS_EXTRACTED,21-14-7-0-17-10-3-20-13-6-23-16-9-2-19-12-5-22-15-8-1-18-11-4,c8e65c9c58288448,native_multi_N_claim_scope_within_N_only
N24,SurfaceT,S3R24L64_N24_B06_model_disagreement,580875968.0,known_best_mutation,combined108_known_best_mutation,Run27,PASS_TEACHER_FIELDS_EXTRACTED,11-21-7-17-9-13-23-3-19-5-15-1-0-2-4-6-8-10-12-14-16-18-20-22,5e8f606e284ef168,native_multi_N_claim_scope_within_N_only
N24,Mises,N24_A06_edge_in_alternating,579942784.0,edge_in,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,surrogate_guided,N40_followup_u2_reward_retention,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-6-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-7-5-3-1-21-23-25-27-29-31-33-35-37-39,d9c22149ede815b6,native_multi_N_claim_scope_within_N_only
N40,u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,0.9395121951219512,penalty_repair,N40_followup_penalty_repair,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-7-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-6-5-3-1-21-23-25-27-29-31-33-35-39-37,520a2adf7b065203,native_multi_N_claim_scope_within_N_only
N40,constrained_reward,S3R64VNR_N40_B03_n40_penalty_anchor,0.9097560975609756,penalty_repair,N40_followup_penalty_repair,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-7-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-6-5-3-1-21-23-25-27-29-31-33-35-39-37,520a2adf7b065203,native_multi_N_claim_scope_within_N_only
N40,strict_penalty_guard,S3R64VNR_N40_B03_n40_penalty_anchor,0.8985365853658538,penalty_repair,N40_followup_penalty_repair,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-7-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-6-5-3-1-21-23-25-27-29-31-33-35-39-37,520a2adf7b065203,native_multi_N_claim_scope_within_N_only
N40,penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,0.8760975609756098,penalty_repair,N40_followup_penalty_repair,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-7-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-6-5-3-1-21-23-25-27-29-31-33-35-39-37,520a2adf7b065203,native_multi_N_claim_scope_within_N_only
N40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,surrogate_guided,surrogate_top_predicted,Run41,PASS_TEACHER_FIELDS_EXTRACTED,14-30-20-8-2-24-32-28-26-0-34-18-16-36-12-4-10-22-38-6-19-23-29-31-37-13-7-27-35-39-9-1-21-11-5-17-25-15-3-33,ea73009f75c06ec9,native_multi_N_claim_scope_within_N_only
N40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,581119040.0,regular_jump_non_coprime,regular_jump_sweep,Run20,PASS_TEACHER_FIELDS_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
N40,Mises,N40_A07_regular_jump_coprime,579924032.0,regular_jump,probe60_run08,Run08,PASS_ODB_EXTRACTED,,,native_multi_N_claim_scope_within_N_only
