relative_path,line_number,hardcode_type,matched_text,suggested_parameter,risk_level,notes
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,27,32track_name,"BATCH_NAME = ""32track_masked_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,28,32track_name,"OUTPUT_ROOT_NAME = ""32track_masked_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,35,32track_name,"SCRIPT_PATH = os.path.abspath(__file__) if ""__file__"" in globals() else os.path.abspath(""build_32track_masked_v01_caes_and_inputs.py"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,42,32track_name,"BASE_CAE = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"", ""sanity_base"", ""sanity_base_v01.cae"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,43,32track_name,"BASE_JOURNAL = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"", ""sanity_base"", ""sanity_base_v01.jnl"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,50,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,67,fixed_arrays_32,"""removed_tracks"": [2, 7, 13, 18, 24, 29],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,73,fixed_arrays_32,"""removed_tracks"": [1, 4, 8, 12, 16, 20, 23, 26, 28, 31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,176,range32,"errors.append(""%s active/removed union does not cover 0..31."" % mask[""mask_id""])",track_count / range(track_count),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,265,32track_name,"return ""Job_2D_32track_masked_%s_%s_v01"" % (mask_id, strategy_id)",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,275,32track_name,"""cae"": os.path.join(folder, ""masked_32track_%s_%s_v01.cae"" % (mask_id, strategy_id)),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,336,fixed_track_positions,"def create_masked_loads(model, region_by_track, scan_order):",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,343,fixed_track_positions,region_record = region_by_track[track],track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,585,32track_name,"""# Masked 32-Track Case"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,619,fixed_track_positions,region_by_track = {},track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,622,fixed_track_positions,"region_by_track[track] = {""region_object"": region, ""found_at"": found_at, ""instance_name"": instance_name}",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,627,fixed_track_positions,"load_records = create_masked_loads(model, region_by_track, scan_order)",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,667,32track_name,"return 'enqueue --inp ""%s"" --cpus 14 --batch masked_32track_v01 --strategy %s' % (manifest[""inp_path""], strategy_name)",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,671,32track_name,"index_json_path = os.path.join(OUTPUT_ROOT, ""masked_32track_v01_strategy_index.json"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,672,32track_name,"index_csv_path = os.path.join(OUTPUT_ROOT, ""masked_32track_v01_strategy_index.csv"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,673,32track_name,"report_path = os.path.join(OUTPUT_ROOT, ""masked_32track_v01_generation_report.md"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,674,32track_name,"commands_path = os.path.join(OUTPUT_ROOT, ""masked_32track_v01_abqjobpilot_commands.txt"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,675,32track_name,"readme_path = os.path.join(OUTPUT_ROOT, ""MASKED_32TRACK_V01_README.md"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,760,32track_name,"""# Masked 32-Track v01 Generation Report"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,765,32track_name,"""- Launcher path: `%s`"" % os.path.join(SCRIPT_DIR, ""run_build_32track_masked_v01_caes_and_inputs.bat""),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,808,postprocess_32,"""- Masked teacher scores must come from new masked Abaqus ODBs, not simulated from Full48 no-mask ODBs."",",postprocessing parameterized by N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,812,32track_name,"""- `mask_00_no_mask_reference` may duplicate existing full32 physics but is generated for pipeline consistency."",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,831,32track_name,"""# Masked 32-Track v01"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,842,32track_name,"""Use `masked_32track_v01_abqjobpilot_commands.txt` to enqueue jobs later."",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,917,32track_name,"raise RuntimeError(""Masked 32-track v01 generation failed validation."")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,2,32track_name,"""""""Build full 32-track strategy CAE files from the clean 32-track base CAE.",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,30,32track_name,"STRATEGY_ROOT = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,36,32track_name,"PREFERRED_MODEL_NAME = ""Model_2D_LDEL_32track""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,40,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,63,range32,"""scan_order"": list(range(32)),",track_count / range(track_count),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,68,fixed_arrays_32,"""scan_order"": [15, 16, 14, 17, 13, 18, 12, 19, 11, 20, 10, 21, 9, 22, 8, 23, 7, 24, 6, 25, 5, 26, 4, 27, 3, 28, 2, 29, 1, 30, 0, 31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,73,fixed_arrays_32,"""scan_order"": [0, 31, 1, 30, 2, 29, 3, 28, 4, 27, 5, 26, 6, 25, 7, 24, 8, 23, 9, 22, 10, 21, 11, 20, 12, 19, 13, 18, 14, 17, 15, 16],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,329,fixed_track_positions,"def create_loads(model, region_records_by_track, scan_order):",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,336,fixed_track_positions,region_record = region_records_by_track[track],track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,371,32track_name,"""output_cae"": os.path.join(folder, ""%s_32track_finalcool_v01.cae"" % strategy_name),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,380,32track_name,"return ""Job_2D_32track_%s_finalcool_v01"" % strategy_name",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,383,fixed_track_positions,def make_track_rows(scan_order):,track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,398,fixed_track_positions,rows = make_track_rows(scan_order),track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,549,32track_name,"""# 32-Track Strategy CAE Build Index"",",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,638,range32,"raise RuntimeError(""%s scan_order is not a permutation of 0..31."" % name)",track_count / range(track_count),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,655,fixed_track_positions,region_by_track = {},track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,657,fixed_track_positions,"region_by_track[record[""track_index""]] = record",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,663,fixed_track_positions,"load_records = create_loads(model, region_by_track, scan_order)",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,29,32track_name,"STRATEGY_ROOT = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,36,32track_name,"PREFERRED_MODEL_NAME = ""Model_2D_LDEL_32track""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,40,track_count,TRACK_COUNT = 32,track_count,high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,57,fixed_arrays_32,"""formal_raster_left_to_right"": [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,58,fixed_arrays_32,"""odd_even_interlaced"": [0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,59,fixed_arrays_32,"""center_out"": [15,16,14,17,13,18,12,19,11,20,10,21,9,22,8,23,7,24,6,25,5,26,4,27,3,28,2,29,1,30,0,31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,60,fixed_arrays_32,"""edge_in_alternating_LHI"": [0,31,1,30,2,29,3,28,4,27,5,26,6,25,7,24,8,23,9,22,10,21,11,20,12,19,13,18,14,17,15,16],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,61,fixed_arrays_32,"""greedy_maximin_distance"": [0,31,15,23,7,11,19,27,3,5,9,13,17,21,25,29,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,62,fixed_arrays_32,"""smartscan_proxy_variance"": [0,31,15,23,7,27,19,11,3,29,17,25,13,21,9,5,1,30,16,24,12,20,8,4,28,14,18,2,22,26,10,6],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,63,fixed_arrays_32,"""multi_lag_regular_jump"": [25,31,21,15,26,30,22,11,2,6,16,10,20,29,24,14,5,1,9,19,28,23,13,4,0,8,18,12,3,7,17,27],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,64,fixed_arrays_32,"""windowed_max_dispersion"": [14,18,10,22,7,25,4,28,16,1,31,12,19,3,26,6,23,9,29,15,0,30,11,20,2,27,5,24,8,21,13,17],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,65,fixed_arrays_32,"""block_interleaved_quarters"": [0,8,16,24,1,9,17,25,2,10,18,26,3,11,19,27,4,12,20,28,5,13,21,29,6,14,22,30,7,15,23,31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,66,fixed_arrays_32,"""center_edge_alternating"": [15,0,16,31,14,1,17,30,13,2,18,29,12,3,19,28,11,4,20,27,10,5,21,26,9,6,22,25,8,7,23,24],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,70,fixed_arrays_32,"""random_scan_1"": [26,5,10,15,25,11,22,6,19,12,16,9,28,14,24,20,30,1,13,18,2,17,21,3,29,4,27,31,8,23,0,7],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,71,fixed_arrays_32,"""random_scan_2"": [3,4,6,21,14,26,18,20,11,12,8,13,1,7,30,17,24,5,23,2,9,27,28,10,15,0,29,22,25,19,16,31],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,72,fixed_arrays_32,"""random_scan_3"": [25,27,7,12,23,29,4,3,17,19,2,8,14,0,24,5,20,10,6,16,18,28,15,26,13,9,31,11,1,21,22,30],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,73,fixed_arrays_32,"""random_scan_4"": [27,20,28,31,25,26,10,7,12,29,11,30,9,19,8,22,3,16,17,23,24,13,14,5,18,4,2,15,1,6,21,0],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,74,fixed_arrays_32,"""random_scan_5"": [18,5,26,14,22,29,6,30,1,17,7,2,10,25,20,0,24,31,27,16,12,3,8,15,21,9,28,23,19,13,4,11],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,75,fixed_arrays_32,"""random_scan_6"": [10,6,15,8,29,22,20,12,25,9,13,1,27,4,3,19,26,28,5,30,17,2,14,23,0,11,16,18,24,21,31,7],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,76,fixed_arrays_32,"""random_scan_7"": [29,22,9,25,19,24,20,31,4,23,0,7,18,6,5,11,21,28,10,13,15,14,12,8,16,26,3,1,17,2,27,30],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,77,fixed_arrays_32,"""random_scan_8"": [13,5,2,23,4,9,24,14,18,22,0,29,27,17,16,21,3,7,12,15,25,20,30,26,31,11,1,10,8,19,28,6],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,78,fixed_arrays_32,"""random_scan_9"": [27,28,25,21,10,29,22,0,15,12,26,20,19,3,24,6,11,31,13,30,5,23,7,1,2,14,16,18,9,17,4,8],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,79,fixed_arrays_32,"""random_scan_10"": [18,2,20,3,4,24,0,21,23,9,19,25,30,15,27,29,11,6,14,5,7,26,16,31,1,13,28,17,12,22,10,8],",generated order/position array,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,107,scan_order_len32,"specs.append({""strategy_name"": name, ""strategy_group"": ""full10"", ""scan_order"": LDED32_FULL10_SCAN_ORDERS[name]})",len(scan_order),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,112,scan_order_len32,"specs.append({""strategy_name"": name, ""strategy_group"": ""random10"", ""scan_order"": LDED32_RANDOM10_SCAN_ORDERS[name]})",len(scan_order),high,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,295,fixed_track_positions,"def create_loads(model, region_by_track, scan_order):",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,302,fixed_track_positions,region_record = region_by_track[track],track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,324,32track_name,"job_name = ""Job_2D_32track_%s_finalcool_v01"" % strategy_name",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,327,32track_name,"""output_cae"": os.path.join(folder, ""%s_32track_finalcool_v01.cae"" % strategy_name),",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,340,fixed_track_positions,def make_track_rows(scan_order):,track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,354,fixed_track_positions,"rows = make_track_rows(spec[""scan_order""])",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,567,fixed_track_positions,for row in make_track_rows(scan_order):,track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,623,fixed_track_positions,region_by_track = {},track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,627,fixed_track_positions,"region_by_track[i] = {""region_object"": region, ""found_at"": found_at, ""instance_name"": instance_name}",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,631,fixed_track_positions,"load_records = create_loads(model, region_by_track, spec[""scan_order""])",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,17,32track_name,import build_32track_masked_v01_caes_and_inputs as masked_v01,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,22,32track_name,"OUTPUT_ROOT = ""D:\\Projects\\RL-LAM-ScanOpt\\LDED_2D_CAE_Framework\\cae_models\\32track_masked_UST_probe40_v01""",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,110,fixed_track_positions,region_by_track = {},track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,113,fixed_track_positions,"region_by_track[track] = {""region_object"": region, ""found_at"": found_at, ""instance_name"": instance_name}",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,118,fixed_track_positions,"load_records = v02base.create_loads(model, region_by_track, case[""scan_order""])",track_positions generated from N,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_v02_method_c_remaining24_unique_inps.py,19,32track_name,import build_32track_masked_v01_caes_and_inputs as masked_v01,n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_v02_method_c_remaining24_unique_inps.py,42,32track_name,"OUTPUT_ROOT = os.path.join(CAE_MODELS_DIR, ""32track_masked_v02_method_c_multivariant_remaining24_v01"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
LDED_2D_CAE_Framework\abaqus_scripts\build_masked_v02_method_c_remaining24_unique_inps.py,43,32track_name,"BASE_CAE = os.path.join(FRAMEWORK_DIR, ""cae_models"", ""32track_full"", ""sanity_base"", ""sanity_base_v01.cae"")",n-aware naming token,medium,Refactor before true N=16/24/40 model generation.
