file_path,relative_path,suffix,size_bytes,keyword_score,filename_keyword_hits,content_keyword_hits_sample
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_score_definition_v02.md,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_score_definition_v02.md,.md,1369,6,rl,label;metrics;rl;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_training_table_v02.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\RLS_S_primary_training_table_v02.csv,.csv,281282,6,rl,teacher;label;labels;metrics;rl;rlu2;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\approved_RLS_S_primary_diagnostic40_v02.csv,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\approved_RLS_S_primary_diagnostic40_v02.csv,.csv,27094,6,rl,full32;rl;rlu2;rlu2m;rl20;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\run62_next_FEA_handoff_script_spec_v02.md,rl-training\v01\outputs\S_primary_residual_stress_diagnostic40_v02\run62_next_FEA_handoff_script_spec_v02.md,.md,540,6,rl,32track;teacher;rl;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_branch_preparation_plan_v01.md,rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_branch_preparation_plan_v01.md,.md,671,6,rl,label;labels;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_claim_boundary_v01.md,rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_claim_boundary_v01.md,.md,739,6,rl,teacher;label;labels;rl;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_reward_definitions_v01.md,rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\S_single_objective_reward_definitions_v01.md,.md,1279,6,rl,label;labels;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\run71_branch_preparation_summary_v01.csv,rl-training\v01\outputs\S_single_objective_reward_redesign_branch_v01\run71_branch_preparation_summary_v01.csv,.csv,631,6,rl,teacher;label;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\U2safe_SurfaceT_feasible_probe10_downselect_v01\UST_reference_controls_from_teacher_labels_v01.csv,rl-training\v01\outputs\U2safe_SurfaceT_feasible_probe10_downselect_v01\UST_reference_controls_from_teacher_labels_v01.csv,.csv,7619,6,teacher;label;labels;rl;surface;surfacet,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_FEA_handoff_index_v01.csv,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_FEA_handoff_index_v01.csv,.csv,10126,6,rl,32track;full32;teacher;rl;rlu2;rlu2m;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_FEA_handoff_v01_report.md,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_FEA_handoff_v01_report.md,.md,4639,6,rl,32track;full32;teacher;rl;rlu2;rlu2m;odb;postprocess;postprocessed;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_expected_validation_schema_v01.md,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_expected_validation_schema_v01.md,.md,1108,6,rl,teacher;label;labels;rl;rlu2;rlu2m;rl20;odb;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_strategy_index_v01.json,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01\UST_probe10_strategy_index_v01.json,.json,20162,6,rl,32track;full32;teacher;rl;rlu2;rlu2m;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_FEA_handoff_index_v01.csv,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_FEA_handoff_index_v01.csv,.csv,10126,6,rl,32track;full32;teacher;rl;rlu2;rlu2m;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_FEA_handoff_v01_report.md,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_FEA_handoff_v01_report.md,.md,4347,6,rl,full32;teacher;rl;rlu2;rlu2m;odb;postprocess;postprocessed;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_expected_validation_schema_v01.md,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_expected_validation_schema_v01.md,.md,1108,6,rl,teacher;label;labels;rl;rlu2;rlu2m;rl20;odb;surface;surfacet;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_strategy_index_v01.json,rl-training\v01\outputs\UST_probe10_FEA_handoff_v01_backup_20260607_214624\UST_probe10_strategy_index_v01.json,.json,20162,6,rl,32track;full32;teacher;rl;rlu2;rlu2m;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U2_vs_U3_final_decision_v01.md,rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U2_vs_U3_final_decision_v01.md,.md,2575,6,rl,teacher;label;labels;metrics;rl;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U_component_mismatch_risk_assessment_v01.csv,rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U_component_mismatch_risk_assessment_v01.csv,.csv,6984,6,rl,teacher;label;labels;metrics;gnn;rl;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U_documentation_component_audit_v01.md,rl-training\v01\outputs\U_component_U2_vs_U3_static_audit_v01\U_documentation_component_audit_v01.md,.md,32575,6,rl,teacher;label;labels;metrics;gnn;rl;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_column_mapping_v01.csv,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_column_mapping_v01.csv,.csv,32448,6,rl,n32;teacher;label;labels;rl;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_terminal_dataset_manifest_v01.json,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_terminal_dataset_manifest_v01.json,.json,16282,6,rl,n32;teacher;label;labels;rl;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_terminal_dataset_summary.md,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\component_terminal_dataset_summary.md,.md,4635,6,rl,32track;teacher;label;labels;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\input_inventory_run34.csv,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\input_inventory_run34.csv,.csv,6316,6,rl,n32;teacher;label;labels;rl;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\run34_input_validation_summary.csv,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\run34_input_validation_summary.csv,.csv,699,6,rl,n32;teacher;label;labels;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\terminal_only_reward_config_v01.json,rl-training\v01\outputs\component_terminal_surrogate_dataset_v01\terminal_only_reward_config_v01.json,.json,1564,6,rl,32-track;teacher;label;labels;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\corrected_surrogate_reward_env_blueprint_v01\main_rl_prototype_plan.md,rl-training\v01\outputs\corrected_surrogate_reward_env_blueprint_v01\main_rl_prototype_plan.md,.md,1102,6,rl,32-track;teacher;gnn;rl;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\corrected_surrogate_reward_env_blueprint_v01\surrogate_preference_model_design.md,rl-training\v01\outputs\corrected_surrogate_reward_env_blueprint_v01\surrogate_preference_model_design.md,.md,2504,6,rl,teacher;label;labels;metrics;rl
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\corrected_surrogate_reward_v01\selected_surrogate_metadata.json,rl-training\v01\outputs\corrected_surrogate_reward_v01\selected_surrogate_metadata.json,.json,2148,6,rl,32-track;teacher;metrics;rl;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\field_aware_feature_design.md,rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\field_aware_feature_design.md,.md,6759,6,rl,teacher;label;labels;metrics;rl;odb;postprocess;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\field_aware_feature_design_table.csv,rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\field_aware_feature_design_table.csv,.csv,5361,6,rl,teacher;label;labels;metrics;rl;odb;postprocess;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\next_step_decision_table_run33.csv,rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\next_step_decision_table_run33.csv,.csv,1516,6,rl,teacher;label;labels;metrics;gnn;rl;rl20;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\next_surrogate_architecture_recommendation.md,rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\next_surrogate_architecture_recommendation.md,.md,1626,6,rl,teacher;label;labels;gnn;rl;rl20;odb;postprocess
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\step_reward_ablation_design.md,rl-training\v01\outputs\field_aware_surrogate_feature_design_v01\step_reward_ablation_design.md,.md,1978,6,rl,teacher;label;labels;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_U_conservative4_odb_validation_v01\gnn_U_conservative4_teacher_labels_v01.csv,rl-training\v01\outputs\gnn_U_conservative4_odb_validation_v01\gnn_U_conservative4_teacher_labels_v01.csv,.csv,10077,6,teacher;label;labels;gnn;rl;odb,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_absolute_U2_guard_audit_v01.csv,rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_absolute_U2_guard_audit_v01.csv,.csv,9423,6,rl,teacher;canonical;rl;rlu2;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_claim_support_matrix_v01.csv,rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_claim_support_matrix_v01.csv,.csv,2866,6,rl,teacher;label;gnn;rl;odb;postprocess;postprocessed;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01_report.md,rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01_report.md,.md,9103,6,rl,teacher;gnn;rl;odb;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_evidence_freeze_summary_v01.md,rl-training\v01\outputs\masked_UST_probe40_evidence_freeze_and_U2_guard_audit_v01\masked_UST_probe40_evidence_freeze_summary_v01.md,.md,3578,6,rl,teacher;label;gnn;rl;odb;postprocess;postprocessed;surface;surfacet
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\reports\full48_evidence_audit_report.md,rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\reports\full48_evidence_audit_report.md,.md,2722,6,rl,teacher;label;labels;rl;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\reports\full48_manuscript_result_section_draft.md,rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\reports\full48_manuscript_result_section_draft.md,.md,1808,6,rl,teacher;label;labels;metrics;rl
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\stage2_full48_milestone_summary.json,rl-training\v01\outputs\milestones\stage2_full48_milestone_v01\stage2_full48_milestone_summary.json,.json,1623,6,rl,teacher;label;labels;rl;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\model_inventory_key_counts_v01.json,rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\model_inventory_key_counts_v01.json,.json,1034,6,rl,teacher;label;rl;rlu2;rlu2m;rl20;odb;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\odbs_missing_full_field_surface_gradient_labels_v01.csv,rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\odbs_missing_full_field_surface_gradient_labels_v01.csv,.csv,10610,6,label;labels;rl;odb;surface;gradient,
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\old_multi_weight_S_demote_rationale_v01.md,rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\old_multi_weight_S_demote_rationale_v01.md,.md,876,6,rl,teacher;label;labels;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\two_single_objective_S_reward_redesign_v01.md,rl-training\v01\outputs\model_inventory_and_two_single_objective_S_redesign_v01\two_single_objective_S_reward_redesign_v01.md,.md,867,6,rl,teacher;label;labels;surface;gradient
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\next_U_PEEQ_balanced_smallbatch_plan_v01\candidate_source_readiness_for_run41.csv,rl-training\v01\outputs\next_U_PEEQ_balanced_smallbatch_plan_v01\candidate_source_readiness_for_run41.csv,.csv,2773,6,rl,teacher;label;labels;rl;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\next_U_PEEQ_balanced_smallbatch_plan_v01\run40_input_validation_summary.csv,rl-training\v01\outputs\next_U_PEEQ_balanced_smallbatch_plan_v01\run40_input_validation_summary.csv,.csv,4297,6,rl,teacher;label;labels;metrics;rl;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\paper_full48_results\full48_manuscript_result_section_draft.md,rl-training\v01\outputs\paper_full48_results\full48_manuscript_result_section_draft.md,.md,1808,6,rl,teacher;label;labels;metrics;rl
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\external_supervisor_review_grok_U2_summary_v01.md,rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\external_supervisor_review_grok_U2_summary_v01.md,.md,1400,6,rl,teacher;rl;rlu2;rlu2m;rl20
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\pure_U2_baseline_comparison_freeze_v01.csv,rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\pure_U2_baseline_comparison_freeze_v01.csv,.csv,2404,6,rl,teacher;label;gnn;rl;rlu2;rlu2m;rl20;odb
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\pure_U2_claim_boundary_final_v01.md,rl-training\v01\outputs\pure_U2_reward_redesign_evidence_freeze_v01\pure_U2_claim_boundary_final_v01.md,.md,1106,6,rl,teacher;label;labels;rl;rlu2;rlu2m;rl20
