record_type,source_file,column_name,row_count,native_non_null_count,n32_non_null_count,native_min,native_median,native_max,n32_min,n32_median,n32_max,inferred_unit_or_semantic_scale,compatibility_class,surface_semantic,mises_semantic,includes_n32_or_full32,relevant_columns,usable_for_native_scale_conversion,recommendation_reason
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_cost_minmax_combined172_within_n,884,172,0,0,0.62587412587412583,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,combined172_pareto_flag_u2_peeq,884,172,0,0,0,1,,,,Pa_if_physical_column,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,combined172_pareto_flag_u2_peeq_surfaceT_mises,884,172,0,0,1,1,,,,Pa_if_physical_column,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,is_new_best_surfaceT_within_n,884,204,0,,,,,,,metadata_or_derived,unknown_or_derived,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,requires source definition; not sufficient for conversion by name alone
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,is_new_best_mises_within_n,884,204,0,,,,,,,metadata_or_derived,unknown_or_derived,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,requires source definition; not sufficient for conversion by name alone
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_SurfaceT_run27_within_n,884,64,0,1,8.5,24,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,score_SurfaceT_run27_within_n,884,64,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,cost_surfaceT_run27_within_n,884,64,0,0,0.19648799428893027,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_MISES_run27_within_n,884,64,0,1,8.5,24,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,score_MISES_run27_within_n,884,64,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,cost_mises_run27_within_n,884,64,0,0,0.58846153846153837,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,legacy_compatibility_status,884,204,332,,,,,,,metadata_or_derived,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_SurfaceT_run36_within_n,884,32,0,1,4.5,12,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,score_SurfaceT_run36_within_n,884,32,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,cost_surfaceT_run36_within_n,884,32,0,0,0.33199583286850687,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_Mises_run36_within_n,884,32,0,1,5,12,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,score_Mises_run36_within_n,884,32,0,0,0.52272727272727271,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,cost_mises_run36_within_n,884,32,0,0,0.54166666666666663,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_rank_combined204_within_n,884,204,0,1,26,66,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_surfaceT_score_combined204_rank,884,204,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_cost_minmax_combined204_within_n,884,204,0,0,0.22238533584201575,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_rank_combined204_within_n,884,204,0,1,25.5,66,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_mises_score_combined204_rank,884,204,0,0,0.48571428571428571,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_cost_minmax_combined204_within_n,884,204,0,0,0.63636363636363635,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,combined204_pareto_flag_u2_peeq,884,204,0,,,,,,,Pa_if_physical_column,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,combined204_pareto_flag_u2_peeq_surfaceT_mises,884,204,0,,,,,,,Pa_if_physical_column,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,odb_path,884,348,0,,,,,,,Pa_if_physical_column,unknown,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,keyword match but not a physical stress column
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_mean,884,348,0,579920643.66666663,579938629.85714281,579947526.37037039,,,,source_numeric_scale,native_only_or_absent_for_n32,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not populated for N32 in plus-N32 table
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,max_principal_stress_max,884,348,0,580840256,582140864,592035328,,,,source_numeric_scale,native_only_or_absent_for_n32,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not populated for N32 in plus-N32 table
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,max_principal_stress_mean,884,348,0,579916072.09523809,579938119.92857146,579947057.37037039,,,,source_numeric_scale,native_only_or_absent_for_n32,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not populated for N32 in plus-N32 table
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surface_t_proxy_max_tensile_pa,884,348,0,580840256,582140864,592035328,,,,Pa_if_physical_column,native_only_or_absent_for_n32,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not populated for N32 in plus-N32 table
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surface_t_proxy_max_tensile_mpa,884,348,0,580.84025599999995,582.14086399999997,592.03532800000005,,,,MPa_if_physical_column,native_only_or_absent_for_n32,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not populated for N32 in plus-N32 table
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_within_N_surface_t_proxy,884,348,0,1,10,32,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,rank_within_N_mises_max,884,348,0,1,10,32,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,norm_cost_within_N_surface_t_proxy,884,348,0,0,0.13894325338648983,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,norm_cost_within_N_mises_max,884,348,0,0,0.46875,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_rank_combined264_within_n,884,264,0,1,33.5,96,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_surfaceT_score_combined264_rank,884,264,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_cost_minmax_combined264_within_n,884,264,0,0,0.19840769270440989,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_rank_combined264_within_n,884,264,0,1,32,96,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_mises_score_combined264_rank,884,264,0,0,0.50526315789473686,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_cost_minmax_combined264_within_n,884,264,0,0,0.58475783475783472,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,predicted_surfaceT_guarded_score,884,128,0,0.071146038385826699,0.75671748673017414,0.86065789473684373,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_rank_combined296_within_n,884,296,0,1,38.5,112,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_surfaceT_score_combined296_rank,884,296,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_cost_minmax_combined296_within_n,884,296,0,0,0.19840769270440989,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_rank_combined296_within_n,884,296,0,1,36.5,112,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_mises_score_combined296_rank,884,296,0,0,0.50900900900900903,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_cost_minmax_combined296_within_n,884,296,0,0,0.5757575757575758,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,predicted_mises_guarded_score,884,96,0,0.071146038385826699,0.73384009009009055,0.85405405405405355,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_rank_combined328_within_n,884,328,0,1,46.5,128,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_surfaceT_score_combined328_rank,884,328,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,surfaceT_cost_minmax_combined328_within_n,884,328,0,0,0.1856630773820169,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_rank_combined328_within_n,884,328,0,1,46.25,128,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_mises_score_combined328_rank,884,328,0,0,0.5,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,mises_cost_minmax_combined328_within_n,884,328,0,0,0.59041394335511987,1,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,target_reward_combined328_penalty_repair,884,328,0,0.070714285714285605,0.51190944881889755,0.86161417322834644,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,penalty_repair_prediction,884,224,0,0.070176374077112302,0.71636750063974364,0.92696624113475201,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
plus_n32_schema_column,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,two_stage_repair_prediction,884,64,0,0.0298813815902088,0.73325354520754571,0.83117390651612244,,,,source_numeric_scale,derived_rank_score_or_metadata,,,YES_FROZEN_PLUS_N32,,NO_OR_NOT_APPLICABLE,not a physical stress magnitude
