n,strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,step_final_cooling_exists,final_cooling_controls_visible,final_cooling_control_evidence,scan_sequence_complete,cool_sequence_complete,heat_flux_entries_exist,verdict,notes
16,N16_A11_graph_pointer_policy_diverse_01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A11_graph_pointer_policy_diverse_01\J2D_N16_N16_A11_graph_pointer_policy_diverse_01.inp,True,58888,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A12_graph_pointer_policy_diverse_02,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A12_graph_pointer_policy_diverse_02\J2D_N16_N16_A12_graph_pointer_policy_diverse_02.inp,True,58888,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N16_N16_A13_graph_pointer_policy_anti_odd_even_novelty.inp,True,58899,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A14_graph_pointer_policy_u2first_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A14_graph_pointer_policy_u2first_proxy\J2D_N16_N16_A14_graph_pointer_policy_u2first_proxy.inp,True,58891,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N16_N16_A15_graph_pointer_policy_balanced_dispersion_proxy.inp,True,58903,True,True,511,432,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A01_raster_left_to_right\J2D_N24_N24_A01_raster_left_to_right.inp,True,84577,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A02_odd_even_interlaced\J2D_N24_N24_A02_odd_even_interlaced.inp,True,84576,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A03_greedy_maximin_distance\J2D_N24_N24_A03_greedy_maximin_distance.inp,True,84580,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A04_method_c_u2_first_engineering\J2D_N24_N24_A04_method_c_u2_first_engineering.inp,True,84586,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A05_center_out\J2D_N24_N24_A05_center_out.inp,True,84567,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A06_edge_in_alternating\J2D_N24_N24_A06_edge_in_alternating.inp,True,84576,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A07_regular_jump_coprime\J2D_N24_N24_A07_regular_jump_coprime.inp,True,84577,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A08_block_interleaved_quarters\J2D_N24_N24_A08_block_interleaved_quarters.inp,True,84583,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A09_center_edge_alternating\J2D_N24_N24_A09_center_edge_alternating.inp,True,84580,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N24_N24_A10_graph_pointer_policy_zero_shot_or_proxy_best.inp,True,84601,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A11_graph_pointer_policy_diverse_01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A11_graph_pointer_policy_diverse_01\J2D_N24_N24_A11_graph_pointer_policy_diverse_01.inp,True,84588,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A12_graph_pointer_policy_diverse_02,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A12_graph_pointer_policy_diverse_02\J2D_N24_N24_A12_graph_pointer_policy_diverse_02.inp,True,84588,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N24_N24_A13_graph_pointer_policy_anti_odd_even_novelty.inp,True,84599,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A14_graph_pointer_policy_u2first_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A14_graph_pointer_policy_u2first_proxy\J2D_N24_N24_A14_graph_pointer_policy_u2first_proxy.inp,True,84591,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N24_N24_A15_graph_pointer_policy_balanced_dispersion_proxy.inp,True,84603,True,True,735,624,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A01_raster_left_to_right\J2D_N40_N40_A01_raster_left_to_right.inp,True,137904,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A02_odd_even_interlaced\J2D_N40_N40_A02_odd_even_interlaced.inp,True,137903,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A03_greedy_maximin_distance\J2D_N40_N40_A03_greedy_maximin_distance.inp,True,137907,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A04_method_c_u2_first_engineering\J2D_N40_N40_A04_method_c_u2_first_engineering.inp,True,137913,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A05_center_out\J2D_N40_N40_A05_center_out.inp,True,137894,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A06_edge_in_alternating\J2D_N40_N40_A06_edge_in_alternating.inp,True,137903,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A07_regular_jump_coprime\J2D_N40_N40_A07_regular_jump_coprime.inp,True,137904,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A08_block_interleaved_quarters\J2D_N40_N40_A08_block_interleaved_quarters.inp,True,137910,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A09_center_edge_alternating\J2D_N40_N40_A09_center_edge_alternating.inp,True,137907,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N40_N40_A10_graph_pointer_policy_zero_shot_or_proxy_best.inp,True,137928,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A11_graph_pointer_policy_diverse_01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A11_graph_pointer_policy_diverse_01\J2D_N40_N40_A11_graph_pointer_policy_diverse_01.inp,True,137915,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A12_graph_pointer_policy_diverse_02,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A12_graph_pointer_policy_diverse_02\J2D_N40_N40_A12_graph_pointer_policy_diverse_02.inp,True,137915,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A13_graph_pointer_policy_anti_odd_even_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N40_N40_A13_graph_pointer_policy_anti_odd_even_novelty.inp,True,137926,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A14_graph_pointer_policy_u2first_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A14_graph_pointer_policy_u2first_proxy\J2D_N40_N40_A14_graph_pointer_policy_u2first_proxy.inp,True,137918,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
40,N40_A15_graph_pointer_policy_balanced_dispersion_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N40_N40_A15_graph_pointer_policy_balanced_dispersion_proxy.inp,True,137930,True,True,1183,1008,True,True,visible in INP near step_final_cooling,True,True,True,PASS_INP_MESH_SECTION_CHECK,
