n,objective,rank,value,lower_is_better,strategy_name,handoff_strategy_name,dataset_source,order_hash,order_compact,order_json,teacher_validation_status,completion_status,odb_extraction_status,solver_audit_status,job_name,source_run
12,SurfaceT,4,580873152.0,True,S3R69SNR_N12_B15_n12_u2_safe,S3R69SNR_N12_B15_n12_u2_safe,run71_smallN_recovery_focused_batch40,0cdd294bdb18b2f4,9-11-1-7-5-3-2-0-4-6-8-10,"[9,11,1,7,5,3,2,0,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B15_n12_u2_safe,Run71
12,SurfaceT,5,580913536.0,True,S3R74FSD_N12_B11_n12_u2_safe,S3R74FSD_N12_B11_n12_u2_safe,run76_final_smallN_diagnostic_batch32,456759ca2d4a49d6,11-9-5-7-3-1-0-6-2-4-8-10,"[11,9,5,7,3,1,0,6,2,4,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B11_n12_u2_safe,Run76
12,SurfaceT,6,580948992.0,True,S3R69SNR_N12_B12_n12_recovery_top,S3R69SNR_N12_B12_n12_recovery_top,run71_smallN_recovery_focused_batch40,bbd8e4e8b7d45038,11-5-9-7-3-1-0-4-2-6-8-10,"[11,5,9,7,3,1,0,4,2,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B12_n12_recovery_top,Run71
12,SurfaceT,7,580952448.0,True,S3R74FSD_N12_B03_n12_reward_bal,S3R74FSD_N12_B03_n12_reward_bal,run76_final_smallN_diagnostic_batch32,8adb88c0b0a312f1,11-9-7-5-3-1-0-2-4-8-6-10,"[11,9,7,5,3,1,0,2,4,8,6,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B03_n12_reward_bal,Run76
12,SurfaceT,8,580956480.0,True,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,SurfaceT,9,580957120.0,True,S3R64VNR_N12_B11_n12_u2_safe,S3R64VNR_N12_B11_n12_u2_safe,run66_variable_N_recovery_anchor_batch48,3fe2634252d0c710,1-11-9-7-5-3-4-6-0-2-8-10,"[1,11,9,7,5,3,4,6,0,2,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N12_B11_n12_u2_safe,Run66
12,SurfaceT,10,580966464.0,True,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,Mises,1,579937984.0,True,N12_A06_edge_in_alternating,,probe60_run08,,,"[0,11,1,10,2,9,3,8,4,7,5,6]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A06_edge_in_alternating,Run08
12,Mises,2,579938048.0,True,N12_A05_center_out,,probe60_run08,,,"[5,6,4,7,3,8,2,9,1,10,0,11]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A05_center_out,Run08
12,Mises,3,579938048.0,True,N12_A12_graph_pointer_policy_diverse_02,,probe60_run08,,,"[4,7,3,8,2,9,1,10,0,11,5,6]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A12_graph_pointer_policy_diverse_02,Run08
12,Mises,4,579938240.0,True,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,,probe60_run08,,,"[0,5,11,6,4,8,7,2,3,1,9,10]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy,Run08
12,Mises,5,579938304.0,True,N12_A09_center_edge_alternating,,probe60_run08,,,"[5,0,6,11,4,1,7,10,3,2,8,9]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A09_center_edge_alternating,Run08
12,Mises,6,579938304.0,True,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,,probe60_run08,,,"[0,11,2,5,4,8,6,1,10,3,7,9]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,Run08
12,Mises,7,579938304.0,True,N12_A01_raster_left_to_right,,probe60_run08,,,"[0,1,2,3,4,5,6,7,8,9,10,11]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A01_raster_left_to_right,Run08
12,Mises,8,579938304.0,True,S3R24L64_N12_B06_tradeoff_probe,S3R24L64_N12_B06_tradeoff_probe,shortlist64_run27,d46806645d6af179,10-3-6-7-8-5-0-9-4-11-2-1,"[10,3,6,7,8,5,0,9,4,11,2,1]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,,J2D_S3R24L64_N12_B06_tradeoff_probe,Run27
12,Mises,9,579938304.0,True,S3R24L64_N12_B07_sentinel_control,S3R24L64_N12_B07_sentinel_control,shortlist64_run27,0e14ff64f93518f8,7-11-8-6-9-0-2-10-3-1-4-5,"[7,11,8,6,9,0,2,10,3,1,4,5]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,,J2D_S3R24L64_N12_B07_sentinel_control,Run27
12,Mises,10,579938368.0,True,S3B20_N12_B03_method_c_inspired,S3B20_N12_B03_method_c_inspired,batch20_run14,,,"[0,5,11,6,8,4,2,7,1,3,9,10]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3B20_N12_B03_method_c_inspired,Run14
12,u2_primary,1,0.8977272727272728,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,u2_primary,2,0.8912337662337663,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,u2_primary,3,0.8691558441558442,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,u2_primary,4,0.8522727272727272,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
12,u2_primary,5,0.8477272727272728,False,S3R74FSD_N12_B09_n12_u2_safe,S3R74FSD_N12_B09_n12_u2_safe,run76_final_smallN_diagnostic_batch32,ed513bfc31893b88,11-9-5-3-7-1-0-2-4-6-8-10,"[11,9,5,3,7,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B09_n12_u2_safe,Run76
12,u2_primary,6,0.8444805194805195,False,S3R69SNR_N12_B04_n12_diversity,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,aba4f532c2397564,9-7-11-5-3-1-0-2-4-6-8-10,"[9,7,11,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B04_n12_diversity,Run71
12,u2_primary,7,0.8324675324675326,False,S3R64VNR_N12_B06_n12_anchor_top,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,cea9436fc85171ab,1-11-9-7-5-3-0-2-4-6-8-10,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N12_B06_n12_anchor_top,Run66
12,u2_primary,8,0.8324675324675326,False,S3B20_N12_B02_diversity_top,S3B20_N12_B02_diversity_top,batch20_run14,,,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3B20_N12_B02_diversity_top,Run14
12,u2_primary,9,0.8022727272727272,False,S3R74FSD_N12_B05_n12_final_top,S3R74FSD_N12_B05_n12_final_top,run76_final_smallN_diagnostic_batch32,c75d73d24181c03b,9-11-5-7-3-1-0-2-4-6-8-10,"[9,11,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B05_n12_final_top,Run76
12,u2_primary,10,0.7866883116883117,False,S3R74FSD_N12_B08_n12_final_top,S3R74FSD_N12_B08_n12_final_top,run76_final_smallN_diagnostic_batch32,bda90c8cf3c364ec,11-9-6-4-2-0-1-3-7-5-8-10,"[11,9,6,4,2,0,1,3,7,5,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B08_n12_final_top,Run76
12,constrained_reward,1,0.859090909090909,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,constrained_reward,2,0.8487012987012987,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,constrained_reward,3,0.8428571428571429,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,constrained_reward,4,0.8155844155844155,False,S3R69SNR_N12_B04_n12_diversity,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,aba4f532c2397564,9-7-11-5-3-1-0-2-4-6-8-10,"[9,7,11,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B04_n12_diversity,Run71
12,constrained_reward,5,0.8064935064935064,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
12,constrained_reward,6,0.7837662337662338,False,S3R74FSD_N12_B09_n12_u2_safe,S3R74FSD_N12_B09_n12_u2_safe,run76_final_smallN_diagnostic_batch32,ed513bfc31893b88,11-9-5-3-7-1-0-2-4-6-8-10,"[11,9,5,3,7,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B09_n12_u2_safe,Run76
12,constrained_reward,7,0.7597402597402597,False,S3R64VNR_N12_B06_n12_anchor_top,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,cea9436fc85171ab,1-11-9-7-5-3-0-2-4-6-8-10,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N12_B06_n12_anchor_top,Run66
12,constrained_reward,8,0.7597402597402597,False,S3B20_N12_B02_diversity_top,S3B20_N12_B02_diversity_top,batch20_run14,,,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3B20_N12_B02_diversity_top,Run14
12,constrained_reward,9,0.7577922077922077,False,S3R74FSD_N12_B05_n12_final_top,S3R74FSD_N12_B05_n12_final_top,run76_final_smallN_diagnostic_batch32,c75d73d24181c03b,9-11-5-7-3-1-0-2-4-6-8-10,"[9,11,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B05_n12_final_top,Run76
