batch_name,n,handoff_strategy_name,expected_future_case_root,expected_future_case_dir,expected_future_job_name,expected_future_inp_path,cae_inp_generated,teacher_validated
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B13_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B13_n24_maint,J2D_S3R59N40PR40_N24_B13_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B13_n24_maint\J2D_S3R59N40PR40_N24_B13_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B14_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B14_n24_maint,J2D_S3R59N40PR40_N24_B14_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B14_n24_maint\J2D_S3R59N40PR40_N24_B14_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B15_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B15_n24_maint,J2D_S3R59N40PR40_N24_B15_n24_maint,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B15_n24_maint\J2D_S3R59N40PR40_N24_B15_n24_maint.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,24,S3R59N40PR40_N24_B16_n24_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B16_n24_uncertainty,J2D_S3R59N40PR40_N24_B16_n24_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N24S3R59N40PR40_N24_B16_n24_uncertainty\J2D_S3R59N40PR40_N24_B16_n24_uncertainty.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B01_n40_mises_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B01_n40_mises_repair,J2D_S3R59N40PR40_N40_B01_n40_mises_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B01_n40_mises_repair\J2D_S3R59N40PR40_N40_B01_n40_mises_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B02_n40_peeq_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B02_n40_peeq_repair,J2D_S3R59N40PR40_N40_B02_n40_peeq_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B02_n40_peeq_repair\J2D_S3R59N40PR40_N40_B02_n40_peeq_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B03_n40_surface_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B03_n40_surface_repair,J2D_S3R59N40PR40_N40_B03_n40_surface_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B03_n40_surface_repair\J2D_S3R59N40PR40_N40_B03_n40_surface_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B04_n40_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B04_n40_median,J2D_S3R59N40PR40_N40_B04_n40_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B04_n40_median\J2D_S3R59N40PR40_N40_B04_n40_median.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B05_n40_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B05_n40_median,J2D_S3R59N40PR40_N40_B05_n40_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B05_n40_median\J2D_S3R59N40PR40_N40_B05_n40_median.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B06_n40_no_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B06_n40_no_median,J2D_S3R59N40PR40_N40_B06_n40_no_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B06_n40_no_median\J2D_S3R59N40PR40_N40_B06_n40_no_median.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B07_n40_no_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B07_n40_no_median,J2D_S3R59N40PR40_N40_B07_n40_no_median,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B07_n40_no_median\J2D_S3R59N40PR40_N40_B07_n40_no_median.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B08_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B08_n40_penalty_repair,J2D_S3R59N40PR40_N40_B08_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B08_n40_penalty_repair\J2D_S3R59N40PR40_N40_B08_n40_penalty_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B09_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B09_n40_penalty_repair,J2D_S3R59N40PR40_N40_B09_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B09_n40_penalty_repair\J2D_S3R59N40PR40_N40_B09_n40_penalty_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B10_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B10_n40_penalty_repair,J2D_S3R59N40PR40_N40_B10_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B10_n40_penalty_repair\J2D_S3R59N40PR40_N40_B10_n40_penalty_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B11_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B11_n40_penalty_repair,J2D_S3R59N40PR40_N40_B11_n40_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B11_n40_penalty_repair\J2D_S3R59N40PR40_N40_B11_n40_penalty_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B12_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B12_n40_penalty_top,J2D_S3R59N40PR40_N40_B12_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B12_n40_penalty_top\J2D_S3R59N40PR40_N40_B12_n40_penalty_top.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B13_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B13_n40_penalty_top,J2D_S3R59N40PR40_N40_B13_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B13_n40_penalty_top\J2D_S3R59N40PR40_N40_B13_n40_penalty_top.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B14_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B14_n40_penalty_top,J2D_S3R59N40PR40_N40_B14_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B14_n40_penalty_top\J2D_S3R59N40PR40_N40_B14_n40_penalty_top.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B15_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B15_n40_penalty_top,J2D_S3R59N40PR40_N40_B15_n40_penalty_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B15_n40_penalty_top\J2D_S3R59N40PR40_N40_B15_n40_penalty_top.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B16_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B16_n40_two_stage,J2D_S3R59N40PR40_N40_B16_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B16_n40_two_stage\J2D_S3R59N40PR40_N40_B16_n40_two_stage.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B17_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B17_n40_two_stage,J2D_S3R59N40PR40_N40_B17_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B17_n40_two_stage\J2D_S3R59N40PR40_N40_B17_n40_two_stage.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B18_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B18_n40_two_stage,J2D_S3R59N40PR40_N40_B18_n40_two_stage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B18_n40_two_stage\J2D_S3R59N40PR40_N40_B18_n40_two_stage.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B19_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B19_n40_u2ret_repair,J2D_S3R59N40PR40_N40_B19_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B19_n40_u2ret_repair\J2D_S3R59N40PR40_N40_B19_n40_u2ret_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B20_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B20_n40_u2ret_repair,J2D_S3R59N40PR40_N40_B20_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B20_n40_u2ret_repair\J2D_S3R59N40PR40_N40_B20_n40_u2ret_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B21_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B21_n40_u2ret_repair,J2D_S3R59N40PR40_N40_B21_n40_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B21_n40_u2ret_repair\J2D_S3R59N40PR40_N40_B21_n40_u2ret_repair.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B22_n40_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B22_n40_u2ret_top,J2D_S3R59N40PR40_N40_B22_n40_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B22_n40_u2ret_top\J2D_S3R59N40PR40_N40_B22_n40_u2ret_top.inp,False,False
stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,40,S3R59N40PR40_N40_B23_n40_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B23_n40_u2ret_top,J2D_S3R59N40PR40_N40_B23_n40_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run59_N40_focused_calibrated_penalty_repair_batch40_v01\N40S3R59N40PR40_N40_B23_n40_u2ret_top\J2D_S3R59N40PR40_N40_B23_n40_u2ret_top.inp,False,False
