strategy_name,n,order_hash,duplicate_within_selected,duplicate_vs_combined552_v01_v02K2_v03,order_compact
PPOFINAL_N24_B088_quality,24,8e4ed074dd15de00,False,False,"11,1,3,15,21,23,19,17,13,9,7,5,0,2,6,4,8,10,16,18,20,22,14,12"
PPOFINAL_N24_B089_quality,24,a397e497dd75e525,False,False,"11,15,1,3,23,21,19,17,13,9,7,5,0,2,6,4,8,10,16,18,22,20,14,12"
PPOFINAL_N24_B090_quality,24,587cc3b9360bb9a7,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,12,16,18,20,22,14"
PPOFINAL_N24_B091_quality,24,8ed09c8cb84ff283,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,4,8,10,16,18,22,20,14,12"
PPOFINAL_N24_B092_quality,24,088206a2af4d662e,False,False,"11,3,1,15,23,21,19,17,13,9,7,5,0,2,6,8,10,4,12,16,18,22,20,14"
PPOFINAL_N24_B093_diversity,24,ecb877023557149e,False,False,"21,17,7,3,9,13,5,1,11,19,15,23,0,2,18,20,22,4,8,10,12,14,6,16"
PPOFINAL_N24_B094_diversity,24,520393d0e10224bd,False,False,"11,3,1,13,15,23,21,5,17,19,9,7,0,2,8,6,10,16,4,14,12,18,22,20"
PPOFINAL_N24_B095_diversity,24,68f63e90fd5cbd04,False,False,"11,3,1,15,23,21,17,19,7,9,5,0,2,6,8,4,10,16,18,13,12,14,22,20"
PPOFINAL_N24_B096_diversity,24,74de91df0b46dac4,False,False,"11,3,1,15,21,23,17,19,7,5,9,13,0,2,4,6,10,8,16,20,22,18,14,12"
PPOFINAL_N24_B097_diversity,24,99a6db3ac9677143,False,False,"11,1,3,15,19,23,21,17,13,9,20,22,7,5,0,2,4,6,8,10,18,16,14,12"
PPOFINAL_N24_B098_diversity,24,adda1a02ce4bda82,False,False,"11,3,15,1,19,23,21,13,17,7,5,0,2,9,6,4,8,10,16,20,18,22,14,12"
PPOFINAL_N24_B099_diversity,24,2b4e7e006d7830bb,False,False,"11,1,3,13,15,23,21,19,9,17,7,0,2,5,6,8,4,10,16,22,20,18,12,14"
PPOFINAL_N24_B100_diversity,24,b2acf4ae2f80ef3a,False,False,"11,3,1,21,15,23,19,17,13,22,5,9,7,0,2,6,4,8,10,12,16,18,14,20"
PPOFINAL_N24_B101_diversity,24,b8705a9eed1632a7,False,False,"11,3,1,21,15,23,13,19,9,17,7,5,0,2,4,6,8,10,16,12,14,18,20,22"
PPOFINAL_N24_B102_diversity,24,412dd61950d59a02,False,False,"11,1,15,3,23,21,19,13,17,7,9,0,2,5,6,8,4,10,16,12,22,20,18,14"
PPOFINAL_N24_B103_diversity,24,ff1f2f444fc1385f,False,False,"11,1,3,21,15,23,17,19,7,13,9,5,0,2,6,4,8,10,18,20,22,16,12,14"
PPOFINAL_N24_B104_diversity,24,eec9d9d1d399e2e9,False,False,"11,3,1,15,13,23,19,21,9,17,20,7,5,0,6,2,4,8,10,12,16,18,22,14"
PPOFINAL_N24_B105_diversity,24,bf3c7e3e885190e0,False,False,"11,3,1,15,23,21,17,19,5,13,9,7,0,2,6,8,16,4,10,12,22,20,18,14"
PPOFINAL_N24_B106_diversity,24,67fdf422431f384f,False,False,"11,3,15,21,1,13,23,19,17,9,7,5,0,2,6,4,8,10,12,14,16,22,20,18"
PPOFINAL_N24_B107_diversity,24,b50b42d8d6d81b48,False,False,"11,3,1,15,21,19,23,13,17,9,7,20,5,0,2,6,8,4,10,12,16,18,22,14"
PPOFINAL_N24_B108_diversity,24,c2d90a10e6c13e10,False,False,"11,1,13,3,15,23,19,21,7,5,17,9,0,2,6,4,8,10,16,14,18,20,22,12"
PPOFINAL_N24_B109_diversity,24,390cfaafc4da7c47,False,False,"11,3,1,15,23,21,9,13,19,17,7,0,2,5,6,4,8,10,12,18,20,22,16,14"
PPOFINAL_N24_B110_diversity,24,6c173eb0332cca99,False,False,"11,3,1,21,15,23,19,17,13,9,7,0,2,5,6,4,8,16,18,20,22,14,10,12"
PPOFINAL_N24_B111_diversity,24,3989d0080d339976,False,False,"11,1,3,15,23,21,19,13,17,7,5,0,2,4,6,8,10,16,20,9,12,18,22,14"
PPOFINAL_N24_B112_diversity,24,d699348f4b02cb9e,False,False,"11,1,3,15,23,19,21,17,9,7,13,5,0,2,4,6,8,10,18,20,22,14,16,12"
PPOFINAL_N24_B113_efficiency,24,fcc378efe4f89550,False,False,"21,23,19,17,18,22,20,16,14,15,12,13,10,9,11,8,7,6,4,2,5,3,0,1"
PPOFINAL_N24_B114_efficiency,24,0b16744bf6ae81d3,False,False,"23,22,21,17,19,18,20,15,16,8,10,13,14,11,12,9,4,5,7,6,2,3,1,0"
PPOFINAL_N24_B115_efficiency,24,4b515e60f47ee486,False,False,"23,19,22,20,16,18,17,21,13,14,15,12,11,10,9,8,7,4,3,1,2,5,6,0"
PPOFINAL_N24_B116_efficiency,24,a2eed9c3a29ed981,False,False,"19,23,22,20,18,17,21,16,15,14,12,9,10,11,13,8,7,0,2,4,6,3,1,5"
PPOFINAL_N24_B117_efficiency,24,9a1a0acb348f0abc,False,False,"23,19,21,16,17,20,22,18,13,14,15,12,11,9,10,8,7,0,2,4,1,6,5,3"
PPOFINAL_N24_B118_efficiency,24,5df2570f1e62e9d1,False,False,"23,21,19,20,18,22,16,14,13,17,15,11,10,12,6,9,8,7,4,2,3,1,5,0"
PPOFINAL_N24_B119_efficiency,24,42004e61e957b4ca,False,False,"23,19,18,21,22,15,13,16,17,20,14,12,10,9,8,11,6,2,4,5,7,3,1,0"
PPOFINAL_N24_B120_efficiency,24,c0848ef3bd5b5872,False,False,"23,21,22,20,17,16,19,18,13,14,15,12,8,10,11,9,3,2,5,7,1,4,6,0"
PPOFINAL_N24_B121_efficiency,24,ed3c551c58d481e5,False,False,"23,15,19,21,22,20,16,14,18,17,13,8,9,10,11,12,6,7,2,4,3,5,0,1"
PPOFINAL_N24_B122_efficiency,24,31969a7ec88750f6,False,False,"21,23,19,17,20,18,16,14,22,15,11,9,12,13,7,10,6,8,5,4,2,3,1,0"
PPOFINAL_N24_B123_efficiency,24,12cd25069efbc9f5,False,False,"23,21,19,22,18,15,17,20,12,11,16,14,13,10,9,8,4,6,0,3,2,5,7,1"
PPOFINAL_N24_B124_efficiency,24,2901e8f033a4ca96,False,False,"19,21,22,18,23,17,15,13,14,10,16,20,12,9,11,8,7,5,6,4,2,0,3,1"
PPOFINAL_N24_B125_efficiency,24,045a0102e98ec2a7,False,False,"23,15,18,19,22,17,14,16,21,20,12,13,10,11,9,8,7,2,4,5,6,0,3,1"
PPOFINAL_N24_B126_efficiency,24,3299fb5d45ec4f03,False,False,"16,23,18,17,20,21,19,22,15,12,14,9,13,10,11,6,5,7,8,3,0,1,4,2"
PPOFINAL_N24_B127_efficiency,24,4612f4eb9513702d,False,False,"15,19,23,21,17,18,22,20,16,14,9,11,12,7,8,10,13,6,2,4,0,5,3,1"
PPOFINAL_N24_B128_efficiency,24,3dbb2488ca7c6c55,False,False,"21,17,19,23,18,22,14,20,16,15,8,12,13,9,10,11,7,6,5,4,2,3,0,1"
PPOFINAL_N24_B129_novelty,24,2d0fb49523557363,False,False,"22,21,18,19,23,17,15,12,14,20,7,16,11,8,9,10,13,4,3,2,6,5,0,1"
PPOFINAL_N24_B130_novelty,24,1ca6b22d0d23ff04,False,False,"20,13,23,19,17,15,18,21,14,16,9,10,11,22,12,4,8,6,7,2,5,0,1,3"
PPOFINAL_N24_B131_novelty,24,227c61ddc275dda4,False,False,"17,19,23,21,18,13,11,15,14,9,12,20,22,16,8,10,7,6,3,2,0,4,5,1"
PPOFINAL_N24_B132_novelty,24,b12e33867639d3c5,False,False,"18,23,17,21,15,19,14,22,20,10,16,13,12,11,9,8,4,7,5,2,6,0,3,1"
PPOFINAL_N24_B133_novelty,24,fdb10cc845f0b20b,False,False,"19,21,14,22,15,23,16,12,20,17,13,18,11,10,8,9,6,7,2,5,4,0,3,1"
PPOFINAL_N24_B134_novelty,24,4f9f192b5c2a61b8,False,False,"21,17,23,4,19,13,22,12,18,16,20,14,8,15,10,11,9,7,5,6,2,0,3,1"
PPOFINAL_N24_B135_novelty,24,3cafafe57d3df54e,False,False,"21,19,23,17,22,18,12,20,11,16,10,13,14,8,15,9,6,2,4,7,0,3,5,1"
PPOFINAL_N24_B136_novelty,24,cc6ebefd42587076,False,False,"11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,4,8,16,20,18,22,14,10,12"
PPOFINAL_N24_B137_baseline_proximity,24,5bce268377c3df56,False,False,"11,3,1,15,23,21,19,13,17,9,7,5,0,2,6,4,8,10,12,16,14,18,20,22"
PPOFINAL_N24_B138_baseline_proximity,24,74155c768b5f71dc,False,False,"11,1,3,15,21,23,9,13,17,19,7,5,0,2,4,6,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B139_baseline_proximity,24,9510cf8a7cfe7d1b,False,False,"11,1,3,15,23,21,13,19,17,9,7,5,0,2,4,6,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B140_baseline_proximity,24,59c9eb57a42f582f,False,False,"11,3,1,15,23,21,19,13,17,9,7,5,0,2,4,6,8,10,12,16,18,20,22,14"
PPOFINAL_N24_B141_baseline_proximity,24,dad66d54b04ad6a1,False,False,"11,3,1,15,23,21,19,13,17,9,7,5,0,2,4,6,8,10,16,22,20,18,14,12"
PPOFINAL_N24_B142_baseline_proximity,24,2a46a71eef951480,False,False,"11,1,3,15,23,21,9,19,17,7,13,5,0,2,4,6,8,10,12,16,18,22,20,14"
PPOFINAL_N24_B143_baseline_proximity,24,89c07a565a906e8d,False,False,"1,11,3,15,23,21,19,13,17,9,7,5,0,2,4,6,8,10,12,18,20,22,16,14"
PPOFINAL_N24_B144_baseline_proximity,24,52a7ce5fadecac65,False,False,"11,1,3,15,23,21,19,13,17,9,7,5,0,2,6,4,8,10,12,16,14,18,20,22"
PPOFINAL_N40_B145_quality,40,de85307460f4c766,False,False,"11,3,1,15,21,23,19,25,37,29,13,33,39,35,31,27,17,7,5,0,20,9,26,24,32,22,34,36,38,30,28,14,12,6,4,8,2,10,16,18"
PPOFINAL_N40_B146_quality,40,dc97a259ffd0da41,False,False,"11,3,1,15,21,23,37,39,31,27,35,25,29,13,9,17,33,7,19,5,0,20,24,22,34,38,36,32,30,26,28,18,6,4,2,8,10,16,14,12"
PPOFINAL_N40_B147_quality,40,50eead2e9fe64fb2,False,False,"11,3,1,15,21,17,23,37,29,35,39,31,25,33,19,27,9,7,5,0,13,20,36,24,32,38,30,22,34,28,26,4,6,2,8,10,12,16,18,14"
PPOFINAL_N40_B148_quality,40,3b9411f7a1944cd1,False,False,"11,1,15,3,17,21,23,31,37,29,33,39,35,25,27,13,19,7,0,5,9,22,24,26,36,32,20,38,30,34,28,18,6,16,12,14,4,2,8,10"
PPOFINAL_N40_B149_quality,40,b3b84e349046b17e,False,False,"11,1,3,15,21,23,25,29,37,35,17,39,31,33,13,27,19,5,0,7,9,26,24,20,38,36,34,30,32,22,28,18,6,2,16,14,12,4,8,10"
PPOFINAL_N40_B150_quality,40,8f7702c18f2e6e7a,False,False,"11,1,3,15,23,27,31,21,37,29,17,13,25,35,39,33,19,7,5,0,9,20,36,28,24,22,30,32,26,34,38,16,6,18,8,4,10,12,14,2"
PPOFINAL_N40_B151_quality,40,3a401243f6921b37,False,False,"11,3,1,15,23,21,9,25,29,39,33,35,31,37,27,13,19,17,7,0,5,24,36,30,32,20,26,22,28,34,38,18,6,4,8,10,16,12,14,2"
PPOFINAL_N40_B152_quality,40,a218445583a4142f,False,False,"11,3,1,15,21,25,35,31,23,27,39,37,29,33,19,17,13,9,7,0,5,20,22,30,32,36,24,38,34,28,26,18,14,6,4,12,2,8,16,10"
PPOFINAL_N40_B153_quality,40,c1aac2712d53a1d5,False,False,"11,1,3,15,25,37,27,21,17,23,31,29,33,39,35,19,9,5,0,7,13,34,20,28,30,22,36,32,38,24,18,26,16,14,4,6,8,10,12,2"
PPOFINAL_N40_B154_quality,40,de9f263ee12ac476,False,False,"11,3,1,15,23,31,37,21,29,33,39,35,27,25,19,17,13,9,0,5,7,20,36,30,34,24,32,26,38,28,22,14,6,4,18,16,8,10,2,12"
PPOFINAL_N40_B155_quality,40,e11b824b201d1789,False,False,"11,1,3,15,21,23,35,27,31,37,39,29,17,13,9,25,33,19,7,0,5,20,22,36,30,38,32,24,26,34,28,14,6,16,18,4,12,2,8,10"
PPOFINAL_N40_B156_quality,40,f099da38d842c023,False,False,"11,1,3,15,21,23,31,37,39,33,29,35,9,17,27,25,13,19,0,5,7,20,24,30,26,36,32,34,28,38,22,18,16,6,4,8,10,14,12,2"
PPOFINAL_N40_B157_quality,40,e2e0c106674c83a8,False,False,"11,3,1,15,21,23,17,27,33,39,37,31,29,35,19,25,13,24,7,0,5,9,34,38,36,30,20,32,22,26,28,18,6,16,14,12,4,2,8,10"
PPOFINAL_N40_B158_quality,40,0aacacd7d8684024,False,False,"1,11,3,15,21,31,23,37,33,29,27,39,35,25,17,19,9,13,0,7,5,24,30,20,36,22,32,28,34,38,26,4,6,2,16,14,18,10,8,12"
PPOFINAL_N40_B159_quality,40,bc63a0c4a7b49410,False,False,"11,1,3,31,23,15,29,25,21,37,33,35,39,27,13,17,7,19,9,0,5,20,22,24,38,34,32,28,30,36,26,14,16,18,12,6,2,4,8,10"
PPOFINAL_N40_B160_quality,40,d58fa39e9889ff42,False,False,"11,3,1,15,25,37,39,29,23,21,17,31,35,33,27,13,34,19,7,5,0,9,22,20,24,38,30,26,36,32,28,18,6,4,14,16,12,8,2,10"
PPOFINAL_N40_B161_quality,40,8020d9fd9cf8a782,False,False,"11,1,3,15,37,29,17,21,19,23,35,39,33,31,27,25,13,9,5,0,7,32,20,30,36,38,34,24,26,22,18,28,14,6,4,2,8,10,12,16"
PPOFINAL_N40_B162_quality,40,e728f0d02385a6bb,False,False,"11,1,3,15,21,23,31,25,35,37,39,19,29,27,17,33,7,5,13,0,9,6,20,22,24,34,36,28,26,32,30,38,2,4,8,10,12,16,18,14"
PPOFINAL_N40_B163_quality,40,3baa9f9003b49574,False,False,"11,3,1,15,23,25,21,29,37,39,31,35,33,36,19,17,13,27,7,9,0,5,34,22,20,32,24,26,28,38,30,18,16,14,8,6,10,12,2,4"
PPOFINAL_N40_B164_quality,40,839c1378137cdc95,False,False,"11,1,3,15,21,37,29,27,39,23,35,31,33,19,25,13,17,7,9,5,0,30,32,20,22,24,28,34,36,26,38,18,6,4,16,14,12,8,10,2"
PPOFINAL_N40_B165_quality,40,a7300b5132e6ac16,False,False,"11,3,1,15,23,21,27,31,37,35,29,25,17,33,39,19,5,0,7,13,9,20,36,24,30,28,38,32,34,26,22,14,4,6,16,18,12,8,10,2"
PPOFINAL_N40_B166_quality,40,8e1d427aff29b4c6,False,False,"11,1,3,15,23,21,33,31,37,39,35,25,29,17,5,27,19,13,7,9,0,24,32,30,20,34,28,38,36,26,22,16,18,6,8,4,10,14,12,2"
PPOFINAL_N40_B167_quality,40,0ee3bbe912acab5c,False,False,"11,3,1,15,21,35,39,23,27,31,37,17,25,29,33,19,9,0,13,5,7,24,28,20,26,34,36,32,22,38,30,18,16,6,4,2,8,10,12,14"
