relative_path,source_path,file_role,file_size_bytes,extension,copied_timestamp
01_FINAL_STAGE_X_FREEZE\PPO_FINAL_POOL_320_MANUSCRIPT_INTEGRATION_MEMO.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_MANUSCRIPT_INTEGRATION_MEMO.md,stageX_manuscript_memo,2162,.md,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\PPO_final_pool_320_safe_claims_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_safe_claims_for_manuscript.csv,stageX_manuscript_safe_claims,975,.csv,2026-07-18T20:23:16
01_FINAL_STAGE_X_FREEZE\stageX_PPO_final_pool_320_evidence_freeze_manifest.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\stageX_PPO_final_pool_320_evidence_freeze_manifest.json,stageX_manifest,6491,.json,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\combined552_plus_ppo_final_pool_320_analysis_dataset.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\combined552_plus_ppo_final_pool_320_analysis_dataset.csv,stageW_combined552_plus_ppo,766243,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_claim_decision_table.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_claim_decision_table.csv,stageW_claim_decision,2446,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_efficiency_proxy_vs_teacher_metrics.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_efficiency_proxy_vs_teacher_metrics.csv,stageW_efficiency_proxy_vs_teacher,18757,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_industrial_efficiency_proxy_summary.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_industrial_efficiency_proxy_summary.csv,stageW_efficiency_proxy_summary,2031,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_new_record_candidates.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_new_record_candidates.csv,stageW_new_records,146,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\PPO_FINAL_POOL_320_STAGEW_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_analysis\PPO_FINAL_POOL_320_STAGEW_CLAIM_BOUNDARY.md,stageW_claim_boundary,1000,.md,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\PPO_FINAL_POOL_320_STAGEW_RANKING_AND_COMPARISON_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_analysis\PPO_FINAL_POOL_320_STAGEW_RANKING_AND_COMPARISON_REPORT.md,stageW_report,7782,.md,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_teacher_metric_ranking_full.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_teacher_metric_ranking_full.csv,stageW_ranking,543632,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_teacher_metrics.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_teacher_metrics.csv,stageW_final_pool,360034,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_topk_summary_by_N.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_topk_summary_by_N.csv,stageW_topk_by_N,367,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_topk_summary_by_version.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_topk_summary_by_version.csv,stageW_topk_by_version,421,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_vs_bootstrap_random_reference_by_N.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_vs_bootstrap_random_reference_by_N.csv,stageW_bootstrap_by_N,3332,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_vs_bootstrap_random_reference_global.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_vs_bootstrap_random_reference_global.csv,stageW_bootstrap_global,636,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\ppo_final_pool_320_vs_identified_baseline_families.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\tables\ppo_final_pool_320_vs_identified_baseline_families.csv,stageW_baseline_families,10448,.csv,2026-07-18T20:23:16
02_STAGE_W_ANALYSIS\stageW_final_ppo_pool_320_analysis_manifest.json,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\stageW_final_ppo_pool_320_analysis_manifest.json,stageW_manifest,7026,.json,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v01\PPO_FINAL_CLAIM_BOUNDARY.md,stage_history_summary_or_boundary,1262,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EVIDENCE_FREEZE_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v01\PPO_FINAL_EVIDENCE_FREEZE_REPORT.md,stage_history_summary_or_boundary,4156,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EXPANSION_224_CANDIDATE_GENERATION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_expansion_224_to_320\PPO_FINAL_EXPANSION_224_CANDIDATE_GENERATION_REPORT.md,stage_history_summary_or_boundary,3131,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EXPANSION_224_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_expansion_224_to_320\PPO_FINAL_EXPANSION_224_CLAIM_BOUNDARY.md,stage_history_summary_or_boundary,670,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EXPANSION_STAGEU_CAE_INP_HANDOFF_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_expansion_224_to_320\PPO_FINAL_EXPANSION_STAGEU_CAE_INP_HANDOFF_REPORT.md,stage_history_summary_or_boundary,6183,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EXPANSION_STAGEU_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_expansion_224_to_320\PPO_FINAL_EXPANSION_STAGEU_CLAIM_BOUNDARY.md,stage_history_summary_or_boundary,748,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_FINAL_EXPANSION_STAGEV_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_expansion_224_to_320\PPO_FINAL_EXPANSION_STAGEV_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,stage_history_summary_or_boundary,4033,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_MANUSCRIPT_INTEGRATION_FINAL_MEMO.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v01\PPO_MANUSCRIPT_INTEGRATION_FINAL_MEMO.md,stage_history_summary_or_boundary,2729,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V02K2_STAGEM_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\PPO_V02K2_STAGEM_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,stage_history_summary_or_boundary,3145,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V02K2_STAGEN_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\PPO_V02K2_STAGEN_CLAIM_BOUNDARY.md,stage_history_summary_or_boundary,1035,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V02K2_STAGEN_TEACHER_METRIC_RANKING_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\PPO_V02K2_STAGEN_TEACHER_METRIC_RANKING_REPORT.md,stage_history_summary_or_boundary,9795,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V03_LEX_PRIMARY_CANDIDATE_GENERATION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\PPO_V03_LEX_PRIMARY_CANDIDATE_GENERATION_REPORT.md,stage_history_summary_or_boundary,3016,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V03_STAGER_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\PPO_V03_STAGER_ODB_TEACHER_METRIC_EXTRACTION_REPORT.md,stage_history_summary_or_boundary,3376,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V03_STAGES_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\PPO_V03_STAGES_CLAIM_BOUNDARY.md,stage_history_summary_or_boundary,1147,.md,2026-07-18T20:23:16
03_STAGE_HISTORY_SUMMARIES\PPO_V03_STAGES_TEACHER_METRIC_RANKING_REPORT.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\PPO_V03_STAGES_TEACHER_METRIC_RANKING_REPORT.md,stage_history_summary_or_boundary,10429,.md,2026-07-18T20:23:16
04_CORE_REFERENCE_DATA\FROZEN_stage3_native_combined552_teacher_dataset.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,core_reference_data_or_report,1967712,.csv,2026-07-18T20:23:16
04_CORE_REFERENCE_DATA\STAGE3_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3\STAGE3_CLAIM_BOUNDARY.md,core_reference_search_fallback,717,.md,2026-07-18T20:23:16
05_MANUSCRIPT_TABLES\PPO_final_pool_320_composition_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_composition_for_manuscript.csv,stageX_manuscript_composition_copy,302,.csv,2026-07-18T20:23:16
05_MANUSCRIPT_TABLES\PPO_final_pool_320_main_results_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_main_results_for_manuscript.csv,stageX_manuscript_main_results_copy,1025,.csv,2026-07-18T20:23:16
05_MANUSCRIPT_TABLES\PPO_final_pool_320_safe_claims_for_manuscript.csv,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_evidence_freeze\manuscript_tables\PPO_final_pool_320_safe_claims_for_manuscript.csv,stageX_manuscript_safe_claims_copy,975,.csv,2026-07-18T20:23:16
06_CLAIM_BOUNDARIES\PPO_FINAL_POOL_320_FINAL_CLAIM_BOUNDARY.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_FINAL_CLAIM_BOUNDARY.md,stageX_final_claim_boundary_copy,1054,.md,2026-07-18T20:23:16
06_CLAIM_BOUNDARIES\PPO_FINAL_POOL_320_MANUSCRIPT_INTEGRATION_MEMO.md,E:\Projects\RL-LAM-ScanOpt\docs\stage3_ppo_final_pool_320_evidence_freeze\PPO_FINAL_POOL_320_MANUSCRIPT_INTEGRATION_MEMO.md,stageX_manuscript_memo_copy,2162,.md,2026-07-18T20:23:16
07_HASHES_AND_MANIFESTS\CHATGPT_UPLOAD_FILE_HASHES.csv,generated,generated_or_packaging_metadata,9860,.csv,2026-07-18T20:23:17
07_HASHES_AND_MANIFESTS\CHATGPT_UPLOAD_FILE_INVENTORY.csv,generated,generated_or_packaging_metadata,8322,.csv,2026-07-18T20:23:17
07_HASHES_AND_MANIFESTS\CHATGPT_UPLOAD_MANIFEST.json,generated,generated_or_packaging_metadata,1923,.json,2026-07-18T20:23:17
07_HASHES_AND_MANIFESTS\CHATGPT_UPLOAD_MISSING_FILES.csv,generated,generated_or_packaging_metadata,699,.csv,2026-07-18T20:23:17
08_WRITING_BRIEF\CHATGPT_PROJECT_MASTER_README.md,generated,generated_master_readme,2219,.md,2026-07-18T20:23:16
08_WRITING_BRIEF\PPO_FINAL_320_DO_NOT_CLAIM.md,generated,generated_do_not_claim,437,.md,2026-07-18T20:23:16
08_WRITING_BRIEF\PPO_FINAL_320_ONE_PAGE_SUMMARY.md,generated,generated_one_page_summary,1191,.md,2026-07-18T20:23:16
08_WRITING_BRIEF\PPO_FINAL_320_SAFE_MANUSCRIPT_PARAGRAPH.md,generated,generated_safe_paragraph,723,.md,2026-07-18T20:23:16
08_WRITING_BRIEF\PPO_FINAL_320_TERMINOLOGY_GUIDE.md,generated,generated_terminology_guide,1216,.md,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\final_expansion_vs_prior_ppo_best_lex_rank.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\final_expansion_vs_prior_ppo_best_lex_rank.png,optional_stageW_plot,67988,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_lex_rank_percentile_by_N.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_lex_rank_percentile_by_N.png,optional_stageW_plot,33215,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_vs_bootstrap_random_reference_topk_count.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_vs_bootstrap_random_reference_topk_count.png,optional_stageW_plot,33742,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_vs_combined552_mises_max.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_vs_combined552_mises_max.png,optional_stageW_plot,59194,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_vs_combined552_peeq_max.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_vs_combined552_peeq_max.png,optional_stageW_plot,46125,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_vs_combined552_surface_t_proxy.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_vs_combined552_surface_t_proxy.png,optional_stageW_plot,54969,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo320_vs_combined552_u2_range.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo320_vs_combined552_u2_range.png,optional_stageW_plot,58919,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo_pool_size_progression_32_64_96_320.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo_pool_size_progression_32_64_96_320.png,optional_stageW_plot,43816,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\plots\ppo_topk_count_by_version_and_N.png,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_final_pool_320_analysis\plots\ppo_topk_count_by_version_and_N.png,optional_stageW_plot,36407,.png,2026-07-18T20:23:16
09_OPTIONAL_PLOTS_INDEX_ONLY\PLOTS_AVAILABLE_INDEX.md,generated,plots_index,2196,.md,2026-07-18T20:23:16
