n,prefix_name,feature_name,value,expected_range,pass
16,maximin_like_early,dispersion_score_norm,0.5444444444444444,"[0,1]",True
24,empty,log_N_norm,0.8615228201083382,"[0,1]",True
24,empty,step_fraction,0.0,"[0,1]",True
24,empty,remaining_fraction,1.0,"[0,1]",True
24,empty,current_center_of_mass_scanned_norm,0.0,"[0,1]",True
24,empty,left_right_heat_balance_norm,0.0,"[-1,1]",True
24,empty,edge_center_heat_balance_norm,0.0,"[-1,1]",True
24,empty,mean_jump_so_far_norm,0.0,"[0,1]",True
24,empty,max_jump_so_far_norm,0.0,"[0,1]",True
24,empty,last_jump_length_norm,0.0,"[0,1]",True
24,empty,dispersion_score_norm,0.0,"[0,1]",True
24,raster_like_early,log_N_norm,0.8615228201083382,"[0,1]",True
24,raster_like_early,step_fraction,0.16666666666666666,"[0,1]",True
24,raster_like_early,remaining_fraction,0.8333333333333334,"[0,1]",True
24,raster_like_early,current_center_of_mass_scanned_norm,0.08695652173913043,"[0,1]",True
24,raster_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
24,raster_like_early,edge_center_heat_balance_norm,0.75,"[-1,1]",True
24,raster_like_early,mean_jump_so_far_norm,0.043478260869565216,"[0,1]",True
24,raster_like_early,max_jump_so_far_norm,0.043478260869565216,"[0,1]",True
24,raster_like_early,last_jump_length_norm,0.043478260869565216,"[0,1]",True
24,raster_like_early,dispersion_score_norm,0.07246376811594203,"[0,1]",True
24,odd_even_like_early,log_N_norm,0.8615228201083382,"[0,1]",True
24,odd_even_like_early,step_fraction,0.16666666666666666,"[0,1]",True
24,odd_even_like_early,remaining_fraction,0.8333333333333334,"[0,1]",True
24,odd_even_like_early,current_center_of_mass_scanned_norm,0.13043478260869565,"[0,1]",True
24,odd_even_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
24,odd_even_like_early,edge_center_heat_balance_norm,0.5,"[-1,1]",True
24,odd_even_like_early,mean_jump_so_far_norm,0.08695652173913043,"[0,1]",True
24,odd_even_like_early,max_jump_so_far_norm,0.08695652173913043,"[0,1]",True
24,odd_even_like_early,last_jump_length_norm,0.08695652173913043,"[0,1]",True
24,odd_even_like_early,dispersion_score_norm,0.14492753623188406,"[0,1]",True
24,center_out_like_early,log_N_norm,0.8615228201083382,"[0,1]",True
24,center_out_like_early,step_fraction,0.16666666666666666,"[0,1]",True
24,center_out_like_early,remaining_fraction,0.8333333333333334,"[0,1]",True
24,center_out_like_early,current_center_of_mass_scanned_norm,0.5217391304347826,"[0,1]",True
24,center_out_like_early,left_right_heat_balance_norm,0.0,"[-1,1]",True
24,center_out_like_early,edge_center_heat_balance_norm,-0.5,"[-1,1]",True
24,center_out_like_early,mean_jump_so_far_norm,0.08695652173913043,"[0,1]",True
24,center_out_like_early,max_jump_so_far_norm,0.13043478260869565,"[0,1]",True
24,center_out_like_early,last_jump_length_norm,0.13043478260869565,"[0,1]",True
24,center_out_like_early,dispersion_score_norm,0.07246376811594203,"[0,1]",True
24,maximin_like_early,log_N_norm,0.8615228201083382,"[0,1]",True
24,maximin_like_early,step_fraction,0.16666666666666666,"[0,1]",True
24,maximin_like_early,remaining_fraction,0.8333333333333334,"[0,1]",True
24,maximin_like_early,current_center_of_mass_scanned_norm,0.43478260869565216,"[0,1]",True
24,maximin_like_early,left_right_heat_balance_norm,0.5,"[-1,1]",True
24,maximin_like_early,edge_center_heat_balance_norm,0.25,"[-1,1]",True
24,maximin_like_early,mean_jump_so_far_norm,0.5942028985507246,"[0,1]",True
24,maximin_like_early,max_jump_so_far_norm,1.0,"[0,1]",True
24,maximin_like_early,last_jump_length_norm,0.2608695652173913,"[0,1]",True
24,maximin_like_early,dispersion_score_norm,0.5434782608695652,"[0,1]",True
32,empty,log_N_norm,0.939509123545538,"[0,1]",True
32,empty,step_fraction,0.0,"[0,1]",True
32,empty,remaining_fraction,1.0,"[0,1]",True
32,empty,current_center_of_mass_scanned_norm,0.0,"[0,1]",True
32,empty,left_right_heat_balance_norm,0.0,"[-1,1]",True
32,empty,edge_center_heat_balance_norm,0.0,"[-1,1]",True
32,empty,mean_jump_so_far_norm,0.0,"[0,1]",True
32,empty,max_jump_so_far_norm,0.0,"[0,1]",True
32,empty,last_jump_length_norm,0.0,"[0,1]",True
32,empty,dispersion_score_norm,0.0,"[0,1]",True
32,raster_like_early,log_N_norm,0.939509123545538,"[0,1]",True
32,raster_like_early,step_fraction,0.125,"[0,1]",True
32,raster_like_early,remaining_fraction,0.875,"[0,1]",True
32,raster_like_early,current_center_of_mass_scanned_norm,0.06451612903225806,"[0,1]",True
32,raster_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
32,raster_like_early,edge_center_heat_balance_norm,1.0,"[-1,1]",True
32,raster_like_early,mean_jump_so_far_norm,0.03225806451612903,"[0,1]",True
32,raster_like_early,max_jump_so_far_norm,0.03225806451612903,"[0,1]",True
32,raster_like_early,last_jump_length_norm,0.03225806451612903,"[0,1]",True
32,raster_like_early,dispersion_score_norm,0.053763440860215055,"[0,1]",True
32,odd_even_like_early,log_N_norm,0.939509123545538,"[0,1]",True
32,odd_even_like_early,step_fraction,0.125,"[0,1]",True
32,odd_even_like_early,remaining_fraction,0.875,"[0,1]",True
32,odd_even_like_early,current_center_of_mass_scanned_norm,0.0967741935483871,"[0,1]",True
32,odd_even_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
32,odd_even_like_early,edge_center_heat_balance_norm,0.5,"[-1,1]",True
32,odd_even_like_early,mean_jump_so_far_norm,0.06451612903225806,"[0,1]",True
32,odd_even_like_early,max_jump_so_far_norm,0.06451612903225806,"[0,1]",True
32,odd_even_like_early,last_jump_length_norm,0.06451612903225806,"[0,1]",True
32,odd_even_like_early,dispersion_score_norm,0.10752688172043011,"[0,1]",True
32,center_out_like_early,log_N_norm,0.939509123545538,"[0,1]",True
32,center_out_like_early,step_fraction,0.125,"[0,1]",True
32,center_out_like_early,remaining_fraction,0.875,"[0,1]",True
32,center_out_like_early,current_center_of_mass_scanned_norm,0.5161290322580645,"[0,1]",True
32,center_out_like_early,left_right_heat_balance_norm,0.0,"[-1,1]",True
32,center_out_like_early,edge_center_heat_balance_norm,-0.5,"[-1,1]",True
32,center_out_like_early,mean_jump_so_far_norm,0.06451612903225806,"[0,1]",True
32,center_out_like_early,max_jump_so_far_norm,0.0967741935483871,"[0,1]",True
32,center_out_like_early,last_jump_length_norm,0.0967741935483871,"[0,1]",True
32,center_out_like_early,dispersion_score_norm,0.053763440860215055,"[0,1]",True
32,maximin_like_early,log_N_norm,0.939509123545538,"[0,1]",True
32,maximin_like_early,step_fraction,0.125,"[0,1]",True
32,maximin_like_early,remaining_fraction,0.875,"[0,1]",True
32,maximin_like_early,current_center_of_mass_scanned_norm,0.41935483870967744,"[0,1]",True
32,maximin_like_early,left_right_heat_balance_norm,0.5,"[-1,1]",True
32,maximin_like_early,edge_center_heat_balance_norm,0.25,"[-1,1]",True
32,maximin_like_early,mean_jump_so_far_norm,0.5913978494623655,"[0,1]",True
32,maximin_like_early,max_jump_so_far_norm,1.0,"[0,1]",True
32,maximin_like_early,last_jump_length_norm,0.25806451612903225,"[0,1]",True
32,maximin_like_early,dispersion_score_norm,0.543010752688172,"[0,1]",True
40,empty,log_N_norm,1.0,"[0,1]",True
40,empty,step_fraction,0.0,"[0,1]",True
40,empty,remaining_fraction,1.0,"[0,1]",True
40,empty,current_center_of_mass_scanned_norm,0.0,"[0,1]",True
40,empty,left_right_heat_balance_norm,0.0,"[-1,1]",True
40,empty,edge_center_heat_balance_norm,0.0,"[-1,1]",True
40,empty,mean_jump_so_far_norm,0.0,"[0,1]",True
40,empty,max_jump_so_far_norm,0.0,"[0,1]",True
40,empty,last_jump_length_norm,0.0,"[0,1]",True
40,empty,dispersion_score_norm,0.0,"[0,1]",True
40,raster_like_early,log_N_norm,1.0,"[0,1]",True
40,raster_like_early,step_fraction,0.1,"[0,1]",True
40,raster_like_early,remaining_fraction,0.9,"[0,1]",True
40,raster_like_early,current_center_of_mass_scanned_norm,0.05128205128205128,"[0,1]",True
40,raster_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
40,raster_like_early,edge_center_heat_balance_norm,1.0,"[-1,1]",True
40,raster_like_early,mean_jump_so_far_norm,0.02564102564102564,"[0,1]",True
40,raster_like_early,max_jump_so_far_norm,0.02564102564102564,"[0,1]",True
40,raster_like_early,last_jump_length_norm,0.02564102564102564,"[0,1]",True
40,raster_like_early,dispersion_score_norm,0.04273504273504273,"[0,1]",True
40,odd_even_like_early,log_N_norm,1.0,"[0,1]",True
40,odd_even_like_early,step_fraction,0.1,"[0,1]",True
40,odd_even_like_early,remaining_fraction,0.9,"[0,1]",True
40,odd_even_like_early,current_center_of_mass_scanned_norm,0.07692307692307693,"[0,1]",True
40,odd_even_like_early,left_right_heat_balance_norm,1.0,"[-1,1]",True
40,odd_even_like_early,edge_center_heat_balance_norm,0.5,"[-1,1]",True
40,odd_even_like_early,mean_jump_so_far_norm,0.05128205128205128,"[0,1]",True
40,odd_even_like_early,max_jump_so_far_norm,0.05128205128205128,"[0,1]",True
40,odd_even_like_early,last_jump_length_norm,0.05128205128205128,"[0,1]",True
40,odd_even_like_early,dispersion_score_norm,0.08547008547008546,"[0,1]",True
40,center_out_like_early,log_N_norm,1.0,"[0,1]",True
40,center_out_like_early,step_fraction,0.1,"[0,1]",True
40,center_out_like_early,remaining_fraction,0.9,"[0,1]",True
40,center_out_like_early,current_center_of_mass_scanned_norm,0.5128205128205128,"[0,1]",True
40,center_out_like_early,left_right_heat_balance_norm,0.0,"[-1,1]",True
40,center_out_like_early,edge_center_heat_balance_norm,-0.5,"[-1,1]",True
40,center_out_like_early,mean_jump_so_far_norm,0.05128205128205128,"[0,1]",True
40,center_out_like_early,max_jump_so_far_norm,0.07692307692307693,"[0,1]",True
40,center_out_like_early,last_jump_length_norm,0.07692307692307693,"[0,1]",True
40,center_out_like_early,dispersion_score_norm,0.04273504273504273,"[0,1]",True
40,maximin_like_early,log_N_norm,1.0,"[0,1]",True
40,maximin_like_early,step_fraction,0.1,"[0,1]",True
40,maximin_like_early,remaining_fraction,0.9,"[0,1]",True
40,maximin_like_early,current_center_of_mass_scanned_norm,0.4358974358974359,"[0,1]",True
40,maximin_like_early,left_right_heat_balance_norm,0.5,"[-1,1]",True
40,maximin_like_early,edge_center_heat_balance_norm,0.25,"[-1,1]",True
40,maximin_like_early,mean_jump_so_far_norm,0.5897435897435898,"[0,1]",True
40,maximin_like_early,max_jump_so_far_norm,1.0,"[0,1]",True
40,maximin_like_early,last_jump_length_norm,0.2564102564102564,"[0,1]",True
40,maximin_like_early,dispersion_score_norm,0.5427350427350427,"[0,1]",True
