trajectory_id,segment_id,order_index,track_id,event_type,x_start_mm,y_start_mm,z_start_mm,x_end_mm,y_end_mm,z_end_mm,track_width_mm,track_length_mm,t_start_s,t_end_s,duration_s,laser_on,scan_speed_mm_s,nominal_power_w,source_sequence_file
random_seed_58,track_14,11,14,deposition_track,45.5,2.0,0.0,45.5,38.0,0.0,3.0,36.0,39.60000000000001,43.20000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_15,12,15,deposition_track,48.5,2.0,0.0,48.5,38.0,0.0,3.0,36.0,43.20000000000001,46.80000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_16,13,16,deposition_track,51.5,2.0,0.0,51.5,38.0,0.0,3.0,36.0,46.80000000000001,50.40000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_10,14,10,deposition_track,33.5,2.0,0.0,33.5,38.0,0.0,3.0,36.0,50.40000000000001,54.000000000000014,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_26,15,26,deposition_track,81.5,2.0,0.0,81.5,38.0,0.0,3.0,36.0,54.000000000000014,57.600000000000016,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_02,16,2,deposition_track,9.5,2.0,0.0,9.5,38.0,0.0,3.0,36.0,57.600000000000016,61.20000000000002,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_05,17,5,deposition_track,18.5,2.0,0.0,18.5,38.0,0.0,3.0,36.0,61.20000000000002,64.80000000000001,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_31,18,31,deposition_track,96.5,2.0,0.0,96.5,38.0,0.0,3.0,36.0,64.80000000000001,68.4,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_27,19,27,deposition_track,84.5,2.0,0.0,84.5,38.0,0.0,3.0,36.0,68.4,72.0,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_19,20,19,deposition_track,60.5,2.0,0.0,60.5,38.0,0.0,3.0,36.0,72.0,75.6,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_08,21,8,deposition_track,27.5,2.0,0.0,27.5,38.0,0.0,3.0,36.0,75.6,79.19999999999999,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_03,22,3,deposition_track,12.5,2.0,0.0,12.5,38.0,0.0,3.0,36.0,79.19999999999999,82.79999999999998,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_06,23,6,deposition_track,21.5,2.0,0.0,21.5,38.0,0.0,3.0,36.0,82.79999999999998,86.39999999999998,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_18,24,18,deposition_track,57.5,2.0,0.0,57.5,38.0,0.0,3.0,36.0,86.39999999999998,89.99999999999997,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_11,25,11,deposition_track,36.5,2.0,0.0,36.5,38.0,0.0,3.0,36.0,89.99999999999997,93.59999999999997,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_07,26,7,deposition_track,24.5,2.0,0.0,24.5,38.0,0.0,3.0,36.0,93.59999999999997,97.19999999999996,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_12,27,12,deposition_track,39.5,2.0,0.0,39.5,38.0,0.0,3.0,36.0,97.19999999999996,100.79999999999995,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_20,28,20,deposition_track,63.5,2.0,0.0,63.5,38.0,0.0,3.0,36.0,100.79999999999995,104.39999999999995,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_01,29,1,deposition_track,6.5,2.0,0.0,6.5,38.0,0.0,3.0,36.0,104.39999999999995,107.99999999999994,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_25,30,25,deposition_track,78.5,2.0,0.0,78.5,38.0,0.0,3.0,36.0,107.99999999999994,111.59999999999994,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
random_seed_58,track_17,31,17,deposition_track,54.5,2.0,0.0,54.5,38.0,0.0,3.0,36.0,111.59999999999994,115.19999999999993,3.6,1,10.0,1000.0,D:\Projects\RL-LAM-ScanOpt\assets\fea_teacher_pool_lded_32track\sequences\random_seed_58.json
